"Pilchard 11, Namibia, June 99, CL=189"
"total fish length mm =" 189
"fish mass g =" 99
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         189
     0.000000     0.000000     0.000000     0.000000
      1.00000      3.09027     -2.27356      4.80856
      2.00000      4.81605     -3.67109      7.78066
      3.00000      5.48653     -4.55388      9.53926
      4.00000      5.74354     -5.36963      10.8306
      5.00000      5.89440     -6.14627      11.8365
      6.00000      6.16818     -6.88379      12.7450
      7.00000      6.58723     -7.57662      13.6535
      8.00000      7.02304     -8.24710      14.6139
      9.00000      7.41974     -8.91758      15.5743
      10.0000      7.77733     -9.56571      16.4828
      11.0000      8.11257     -10.1747      17.3199
      12.0000      8.47015     -10.7446      18.0078
      13.0000      8.82774     -11.2698      18.5659
      14.0000      9.12387     -11.7727      19.1304
      15.0000      9.40324     -12.2756      19.7274
      16.0000      9.67702     -12.7784      20.3439
      17.0000      9.92286     -13.2813      20.9539
      18.0000      10.1910     -13.7618      21.4860
      19.0000      10.4648     -14.2199      21.9727
      20.0000      10.6995     -14.6613      22.4724
      21.0000      10.8671     -15.0413      22.9721
      22.0000      10.9733     -15.3765      23.4847
      23.0000      11.0627     -15.6894      24.0169
      24.0000      11.1688     -15.9576      24.4841
      25.0000      11.3309     -16.2258      24.8540
      26.0000      11.5376     -16.5387      25.2369
      27.0000      11.7499     -16.8963      25.6522
      28.0000      11.9622     -17.2762      26.0026
      29.0000      12.1745     -17.6338      26.2751
      30.0000      12.4036     -17.9914      26.4958
      31.0000      12.6551     -18.3713      26.6905
      32.0000      12.9121     -18.7066      26.8397
      33.0000      13.1412     -18.9747      26.9371
      34.0000      13.3255     -19.2262      27.0539
      35.0000      13.4932     -19.4608      27.2031
      36.0000      13.6608     -19.6676      27.3783
      37.0000      13.8284     -19.8743      27.5665
      38.0000      13.9960     -20.0866      27.7352
      39.0000      14.1692     -20.2989      27.9169
      40.0000      14.3424     -20.4889      28.1441
      41.0000      14.5492     -20.6565      28.4166
      42.0000      14.8006     -20.8242      28.7281
      43.0000      14.9738     -20.9918      29.0331
      44.0000      15.0185     -21.1594      29.3316
      45.0000      15.0576     -21.3214      29.6366
      46.0000      15.1358     -21.4611      29.9092
      47.0000      15.2196     -21.5896      30.1298
      48.0000      15.3314     -21.7405      30.2985
      49.0000      15.4375     -21.9081      30.4478
      50.0000      15.5381     -22.0757      30.6230
      51.0000      15.6834     -22.2210      30.7852
      52.0000      15.8287     -22.3439      30.8955
      53.0000      15.9572     -22.4668      30.9929
      54.0000      16.1080     -22.5730      31.1226
      55.0000      16.2756     -22.6791      31.2784
      56.0000      16.4656     -22.8021      31.4276
      57.0000      16.6779     -22.9306      31.6158
      58.0000      16.8902     -23.0814      31.8819
      59.0000      17.1193     -23.2490      32.1609
      60.0000      17.3652     -23.3943      32.3426
      61.0000      17.5942     -23.4949      32.4659
      62.0000      17.7842     -23.5563      32.7060
      63.0000      17.9518     -23.5787      33.0175
      64.0000      18.1027     -23.5563      33.2576
      65.0000      18.2089     -23.4893      33.4069
      66.0000      18.2703     -23.4223      33.4847
      67.0000      18.2982     -23.3999      33.5626
      68.0000      18.3038     -23.4223      33.6145
      69.0000      18.3038     -23.4670      33.6340
      70.0000      18.3206     -23.4893      33.7054
      71.0000      18.3765     -23.4893      33.7833
      72.0000      18.4379     -23.5117      33.8287
      73.0000      18.4826     -23.5563      33.8741
      74.0000      18.5273     -23.6010      33.9260
      75.0000      18.5720     -23.6457      33.9455
      76.0000      18.6335     -23.6849      33.9130
      77.0000      18.7341     -23.7407      33.8417
      78.0000      18.8626     -23.8022      33.7508
      79.0000      18.9520     -23.8469      33.6600
      80.0000      18.9967     -23.9084      33.5886
      81.0000      19.0190     -23.9642      33.5626
      82.0000      18.9352     -23.9810      33.5626
      83.0000      18.7676     -23.9810      33.5626
      84.0000      18.6391     -23.9810      33.5626
      85.0000      18.5497     -23.9810      33.5107
      86.0000      18.4659     -23.9642      33.3874
      87.0000      18.3876     -23.9307      33.2706
      88.0000      18.3038     -23.9139      33.1538
      89.0000      18.2144     -23.8916      32.9851
      90.0000      18.1306     -23.8245      32.7839
      91.0000      18.0524     -23.7128      32.5762
      92.0000      17.9686     -23.5619      32.4010
      93.0000      17.8848     -23.3943      32.2323
      94.0000      17.8289     -23.2267      32.0117
      95.0000      17.8289     -23.0591      31.8430
      96.0000      17.8848     -22.9138      31.7716
      97.0000      17.9686     -22.8132      31.6483
      98.0000      18.0580     -22.7518      31.4017
      99.0000      18.1642     -22.7071      31.1291
      100.000      18.2871     -22.6400      30.9345
      101.000      18.3709     -22.5730      30.8112
      102.000      18.4156     -22.5283      30.6360
      103.000      18.4603     -22.4668      30.3634
      104.000      18.4826     -22.3662      30.1168
      105.000      18.4826     -22.2601      29.9286
